gene_symbol,meanTumor,meanControl,pvalue,log2FC
DDX11L2,0,0,1,0
WASH7P,0.705729644,0.972841867,0.289924,-0.267112223
MIR6859-1,0.21667404,0.134350685,0.414413066,0.082323355
MIR1302-2,0,0,1,0
FAM138A,0,0,1,0
OR4G4P,0,0,1,0
OR4F5,0,0,1,0
LOC100996442,0.136197448,0,0.422649731,0.136197448
CICP27,0,0,1,0
RNU6-1100P,0,0,1,0
WASH9P,0.81411829,0.738049285,0.797753601,0.076069005
MIR6859-2,0.104004758,0,0.422649731,0.104004758
RPL23AP21,0.037224089,0.177179034,0.291148802,-0.139954945
RPL23AP24,0,0,1,0
OR4F29,0,0,1,0
LOC101928626,0,0.113902984,0.422649731,-0.113902984
MTND1P23,0.071772693,0.078849742,0.950291682,-0.007077049
MTND2P28,6.037155909,5.738742578,0.013457042,0.298413331
MTCO1P12,3.214458228,3.921891399,0.031546011,-0.707433171
MTCO2P12,0.40636732,0.237299891,0.17388226,0.169067429
MTATP8P1,0.143790226,0.041039123,0.390989219,0.102751103
MTATP6P1,7.251146586,7.38497962,0.106022577,-0.133833034
MTCO3P12,4.199812101,4.259583786,0.732634802,-0.059771685
OR4F16,0,0,1,0
RNU6-1199P,0,0,1,0
LINC01409,0.660448608,0.320908265,0.41866585,0.339540343
FAM87B,0.174396248,0.128892348,0.77276817,0.0455039
LINC01128,3.910981338,3.855570457,0.339169424,0.055410881
LINC00115,1.025523964,0.969810848,0.860850406,0.055713116
FAM41C,0,0,1,0
TUBB8P11,0,0,1,0
LINC02593,1.223450952,1.603181688,0.143980911,-0.379730735
SAMD11,1.420820698,2.66022632,0.007191048,-1.239405621
NOC2L,7.214175129,7.51268366,0.001011202,-0.29850853
KLHL17,4.034971969,4.351489406,0.001820971,-0.316517436
PLEKHN1,2.8266129,2.965185892,0.050041361,-0.138572993
PERM1,0.148327223,0,0.051974829,0.148327223
HES4,2.826905857,3.024896678,0.121259155,-0.197990821
ISG15,4.797723825,5.746463491,0.053691732,-0.948739667
AGRN,8.481921942,8.965268228,0.002649631,-0.483346286
LOC100288175,2.758596223,3.096526931,0.189517418,-0.337930707
RNF223,0,0.132984717,0.422649731,-0.132984717
C1orf159,4.361839512,4.493568818,0.062216325,-0.131729306
LINC01342,0.037224089,0,0.422649731,0.037224089
MIR200B,0,0,1,0
MIR200A,0,0,1,0
MIR429,0,0,1,0
TTLL10-AS1,0,0,1,0
TTLL10,0,0,1,0
TNFRSF18,0.037224089,0.073717122,0.528103272,-0.036493033
TNFRSF4,0,0,1,0
SDF4,7.593556548,7.832756563,0.004313366,-0.239200016
B3GALT6,4.427718825,4.413538282,0.937105797,0.014180543
C1QTNF12,0.113255275,0.078849742,0.705180282,0.034405533
UBE2J2,5.947016266,6.090069311,0.037816105,-0.143053045
SCNN1D,2.397457355,2.805488777,0.047518072,-0.408031422
ACAP3,4.87055554,5.201023231,0.001866779,-0.33046769
MIR6726,0,0,1,0
PUSL1,4.105822556,4.297142186,0.190946672,-0.19131963
INTS11,6.064317095,6.291420212,0.153821898,-0.227103117
MIR6727,0,0,1,0
CPTP,4.935342159,5.057085415,0.452219345,-0.121743256
