gene,Control_rep1,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
ENSG00000223972.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,5,13,6,19,9,10,5,8,11,11,10,17
ENSG00000278267.1,1,3,2,2,0,2,0,0,2,0,1,3
ENSG00000243485.5,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,4,0,0,0,0,0,0,0,1,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,9,10,17,1,4,12,9,1,4,8,8,6
ENSG00000269981.1,10,8,8,9,7,3,7,15,2,7,7,8
ENSG00000239906.1,0,0,1,0,0,0,0,0,0,0,3,1
ENSG00000241860.6,1,3,1,3,4,4,5,3,4,4,3,0
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279457.4,4,12,13,15,8,4,7,10,15,16,15,13
ENSG00000273874.1,3,0,0,0,0,0,0,0,1,0,0,0
ENSG00000228463.10,1,0,0,2,3,0,0,4,0,5,3,1
ENSG00000236679.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,3,4,18,9,6,6,8,5,8,3,9,6
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000230021.9,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,2,0,0,0,2,0,4,1,3,0,3,2
ENSG00000225630.1,861,753,766,746,605,639,645,577,661,634,592,693
ENSG00000237973.1,104,119,84,207,157,175,77,87,72,149,179,135
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,3,4,5,2,1,4,4,2,3,4,3,2
ENSG00000240409.1,0,1,3,0,1,0,2,0,1,0,0,0
ENSG00000248527.1,1854,1944,1766,2515,1785,2048,1406,1526,1666,1874,1841,1878
ENSG00000198744.5,197,257,190,289,186,223,143,166,170,180,199,222
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228327.3,9,29,24,36,14,31,29,29,31,20,31,23
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.8,0,12,12,3,1,6,8,3,6,2,10,4
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,5,2,4,1,3,2,0,4,4,0,2,0
ENSG00000177757.2,0,1,4,3,0,1,0,0,2,1,1,3
ENSG00000228794.8,173,167,176,194,159,159,153,153,155,154,137,181
ENSG00000225880.5,6,14,20,9,10,18,13,7,7,6,15,17
ENSG00000230368.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,1,0,0,0,1,0,1,0,0,0,0
ENSG00000230699.2,0,0,2,0,2,5,3,0,1,0,3,0
ENSG00000241180.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764.2,18,21,11,28,18,33,5,12,7,12,14,8
ENSG00000187634.11,27,22,14,97,46,67,26,12,17,57,44,44
ENSG00000188976.10,1772,1798,1849,2667,2021,2228,1763,1732,1932,2278,1972,2241
ENSG00000187961.13,198,178,190,275,226,236,184,227,220,235,296,214
ENSG00000187583.10,77,76,71,101,72,87,89,78,81,98,91,93
ENSG00000187642.9,1,1,2,0,0,0,1,2,1,0,2,0
ENSG00000272512.1,0,8,4,1,4,2,0,1,5,0,2,3
ENSG00000188290.10,85,66,74,106,80,86,83,86,78,61,102,72
ENSG00000187608.8,275,475,270,652,586,767,1029,598,618,521,930,866
ENSG00000231702.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969.1,0,0,2,0,0,0,0,0,0,0,0,1
ENSG00000188157.14,4123,4543,4443,6920,5372,6693,4271,3877,4105,5115,5533,5248
ENSG00000242590.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801.9,61,87,66,133,68,95,55,40,51,42,65,90
