gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
DDX11L2,0,0,0,0,0,0,0,0,0,0,0
WASH7P,1.052928872,0.576362547,1.224018337,0.849415279,0.845091985,0.550347566,0.769044334,0.96758213,0.924076748,0.857446746,1.249249957
MIR6859-1,0.319636852,0.218713002,0.189828151,0,0.213223904,0,0,0.231110731,0,0.11261059,0.313862762
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0
LOC100996442,0,0.408592345,0,0,0,0,0,0,0,0.11261059,0
CICP27,0,0,0,0,0,0,0,0,0,0,0
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0
WASH9P,0.994265056,1.045455274,1.038933945,0.776259757,0.398954152,0.722652987,0.910867484,1.203537571,1.205023522,1.149092449,1.037829298
MIR6859-2,0,0,0,0,0,0,0,0.120178238,0,0,0
RPL23AP21,0,0,0.189828151,0.341708952,0,0,0.435170143,0,0.493586585,0.314462984,0.1123805
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0.341708952,0,0,0,0,0,0,0
MTND1P23,0,0,0,0.236549226,0,0.455808023,0.121701854,0.33411903,0,0.314462984,0.216636074
MTND2P28,5.983041648,5.993112547,5.74023098,5.778650052,5.697346702,5.928667859,5.694494059,5.868402698,5.720466791,5.61648335,5.836435636
MTCO1P12,3.438024315,2.977314851,3.959304769,3.905585939,3.90078349,3.02721639,3.113955243,2.858891588,3.717718448,3.95714736,3.577297554
MTCO2P12,0.412172877,0.494914811,0.189828151,0.12311737,0.398954152,0.455808023,0.233931168,0.33411903,0.407464323,0.314462984,0.216636074
MTATP8P1,0.114596401,0.316774277,0,0.12311737,0,0.245830752,0,0.120178238,0,0,0
MTATP6P1,7.337306166,7.185298657,7.474432059,7.32208877,7.358418031,7.040016714,7.080175953,7.187094423,7.265813604,7.233214193,7.258685382
MTCO3P12,4.47552173,4.048848789,4.414184449,4.135036058,4.229530851,3.836221059,3.96448334,3.978905116,3.971393245,4.100590502,4.246736796
OR4F16,0,0,0,0,0,0,0,0,0,0,0
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0
LINC01409,0.994265056,0.987080768,0.276129481,0.12311737,0.563477945,0.801656607,0.338056623,0.605223869,0.218069761,0.857446746,0.404948768
FAM87B,0.114596401,0.408592345,0.276129481,0,0.110547565,0,0,0.231110731,0.113151241,0.11261059,0.313862762
LINC01128,3.888133835,3.94534189,3.871932384,3.922636735,3.772142253,3.927120566,3.854662781,3.854466029,3.76177183,3.599562551,3.969279041
LINC00115,1.109300178,1.398870301,0.707370424,0.919039602,1.283022518,1.142439574,0.692536992,0.685342697,0.574856072,1.149092449,1.249249957
FAM41C,0,0,0,0,0,0,0,0,0,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0
LINC02593,1.452128634,0.926244341,1.56987493,1.380475152,1.859194981,0.550347566,1.039988201,0.685342697,0.984813683,1.095290173,0.720789586
SAMD11,1.495074301,1.10155939,2.967251669,2.349913893,2.663513397,1.771919367,1.039988201,1.308462951,2.498384694,2.192840329,2.190444446
NOC2L,7.225395202,7.251113506,7.558629064,7.500180818,7.479241097,7.36423098,7.261591278,7.399437402,7.54579689,7.331746999,7.51210415
KLHL17,3.974128906,4.048848789,4.3459873,4.401449483,4.307031434,4.177226987,4.39094197,4.329927901,4.334369012,4.645594247,4.19662602
PLEKHN1,2.86454894,2.767903287,3.018225718,2.890284064,2.987047895,3.212103081,2.975514714,3.00654931,3.169225601,3.068265506,3.09321771
PERM1,0.114596401,0.218713002,0,0,0,0.128145153,0.233931168,0.120178238,0,0.217064144,0
HES4,2.690721031,2.818996863,3.079510473,3.022696105,2.972483455,3.12261945,3.099212882,2.958989674,2.57939178,3.214226647,2.772467195
ISG15,5.331606978,4.529747692,5.549813182,5.733467409,5.956109883,6.593673989,5.745089577,5.773076504,5.443189638,6.257389553,6.15289464
AGRN,8.55681046,8.510362559,8.929472434,8.905591335,9.060740915,8.635621385,8.418881936,8.482193988,8.708474716,8.814374011,8.735193693
LOC100288175,3.034299293,2.678508145,3.371802966,2.81922299,3.098554836,2.610894449,2.176547071,2.441038731,2.146232252,2.65004948,3.051536123
RNF223,0,0,0,0,0.398954152,0,0,0,0,0,0
C1orf159,4.358299248,4.429195778,4.433091552,4.49561321,4.552001692,4.235300988,4.161837178,4.378938955,4.550699954,4.482273989,4.246736796
LINC01342,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0,0
TNFRSF18,0,0,0.098033997,0.12311737,0,0,0,0,0,0.11261059,0.216636074
TNFRSF4,0,0,0,0,0,0,0,0.120178238,0,0.11261059,0
SDF4,7.619135949,7.533242039,7.87092347,7.828310795,7.799035425,7.71741421,7.578319478,7.602021928,7.800908543,7.799025647,7.837952382
B3GALT6,4.298944151,4.379003781,4.187998129,4.383088509,4.669528209,4.364523613,4.456029512,4.443720843,4.515108272,4.373470251,4.376190025
C1QTNF12,0.114596401,0.113497158,0,0.236549226,0,0.455808023,0.233931168,0.43026014,0.315872737,0.491508825,0.404948768
UBE2J2,5.897592204,5.928663468,6.115722668,6.094842498,6.059642767,6.003683865,6.014281703,5.997591646,6.19548726,5.905417826,5.98406644
SCNN1D,2.187419772,2.502154377,2.900892043,2.907515589,2.608058699,2.423772177,2.059574195,2.216766348,2.273409273,2.001358036,2.359390195
ACAP3,4.817578648,4.86164254,5.244689512,5.212556637,5.145823543,4.855949603,5.046071714,4.952792506,4.996474891,5.123221967,5.061957133
MIR6726,0,0,0,0,0,0,0,0,0,0,0
PUSL1,4.004171121,4.13201714,4.492882462,4.156815723,4.241728374,4.169800569,4.081610629,4.165066217,4.368959836,4.373470251,3.931479138
INTS11,5.964060942,6.268999141,6.31106748,6.302865752,6.260327404,6.207831136,6.116648619,6.064660231,6.177711033,6.360766216,6.261996947
MIR6727,0,0,0,0,0,0,0,0,0,0,0
CPTP,4.867461292,4.765068049,5.03482721,4.942730071,5.193698965,4.988495008,5.026725158,5.01225075,5.130200092,5.195319647,4.910865018
TAS1R3,0.114596401,0.113497158,0.098033997,0.617781509,0.110547565,0.128145153,0.910867484,0,0.218069761,0.11261059,0.1123805
DVL1,5.716645373,5.663385532,5.848064672,5.776306969,5.976324859,5.826106459,5.843462888,5.775366454,6.036015516,5.800052667,5.830286417
MIR6808,0,0,0,0,0,0,0,0,0,0,0
MXRA8,3.863762855,4.13201714,4.584520719,4.717008135,4.637574215,4.263484243,4.189938679,3.938606356,4.712085963,4.439732018,4.801959314
AURKAIP1,6.165255467,6.321618694,6.736219364,6.631865983,6.654015652,6.174823032,6.198463898,6.299169044,6.699943511,6.518555465,6.628506223
NDUFB4P8,0,0,0,0,0,0,0,0.120178238,0,0,0
CCNL2,6.637279399,6.636081541,6.924191892,6.822204815,6.768039122,6.666719247,6.665564237,6.89443316,6.826676209,6.923556048,6.728880796
MRPL20-AS1,4.10464998,4.077107655,4.541608545,4.320140622,4.369506138,3.979032349,4.01248125,4.115316018,4.268714636,4.13432858,4.063160496
MRPL20,5.431715952,5.253942708,5.723049516,5.553611683,5.577352192,5.628988614,5.47510692,5.395374726,5.707009903,5.543025198,5.584543885
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0
ANKRD65,0,0,0.098033997,0.12311737,0.213223904,0,0.435170143,0.605223869,0.574856072,0.491508825,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0
VWA1,1.833025985,2.252471781,2.696992169,2.374907001,2.530639032,2.119009789,2.11924582,1.918314558,2.456109031,2.361860294,2.215824963
ATAD3C,0,0.218713002,0.276129481,0,0,0.354636167,0,0,0,0,0
ATAD3B,4.830211933,4.948336407,4.994028013,4.967588655,5.002648152,5.030102211,5.091471617,5.091578789,5.32483653,5.314893087,4.952979975
ATAD3A,5.445466591,5.46647978,5.724968704,5.534328638,5.683999789,5.666410153,5.389847956,5.523505817,5.713754037,5.829185649,5.620622516
TMEM240,1.728930274,2.12292043,2.219191399,1.475973202,2.221365066,2.293159465,1.898612622,2.295461762,2.092046954,2.31555515,2.510609409
SSU72,6.755694085,6.691970037,6.779337845,6.61623004,6.639107579,6.654798987,6.790118975,6.817630575,6.832884667,6.86848909,6.78506828
FNDC10,3.544077756,3.667232899,3.520645278,3.835293155,3.780527268,3.854864922,3.305937632,3.326880963,3.586692606,3.711081982,3.596748507
MIB2,5.076309398,5.281527494,5.469670296,5.52039551,5.454347174,5.236134318,5.266617331,5.149220548,5.33361997,5.433463744,5.317775347
MMP23B,0,0.408592345,0.098033997,0,0,0.639071119,0.121701854,0.120178238,0,0.405700059,0.1123805
CDK11B,5.283421922,5.326361484,5.481071059,5.514784361,5.55063741,5.102098802,5.142693298,5.166771305,5.501514348,5.486674551,5.291159008
SLC35E2B,6.325528399,6.124160746,6.071155828,6.041206326,6.031816058,6.21866812,6.279161165,6.162383349,6.200297549,6.199600181,6.131382327
MMP23A,0,0,0.276129481,0,0,0,0.121701854,0,0,0,0
CDK11A,0.658741476,0.316774277,1.179925366,0.699195619,1.691472515,1.201902104,1.268003806,0.902028272,0.651790619,0.649183393,0.404948768
