"Art1","Art2","Art3","AstroAQP1","AstroPLCG1","AstroSERPINI2","B.cell","Bcell_plasma","capEndo","CD4","CD8","CD8_6_1_3","DC","FBMC","fibroblast","gbmEndo_9_1","gbmEndo_9_1a","gbmEndo_9_3","gbmEndo_9_4","gbmEndoPeri_1","gbmEndoPeri_2","gbmFib_4","gbmFib_5","gbmFib_6","gbmPeri","granulocyte","mac_5_1_2","mac_5_1_3","mac_prolif","mg_1_1","mg_1_3","mg_prolif","migDC","monocyte","Neurons_Ex","Neurons_In","NKT","nonclassic_mo","Oligo_2_1","Oligo_2_2","Oligo_2_3_1","Oligo_2_3_2","OPC","pericyte","RBC","SMC","T_prolif","TC_AC","TC_mesh","TC_mesnh","TC_MTC","TC_NPC","TC_oligo","TC_OPC","TC_prolif","Treg","Venous","Venule"
"HEXIM1","ARL15","DKK2","GFAP","GPC5","ADGRV1","CD37","MZB1","CLDN5","CD40LG","CD8A","GZMA","AREG","CRISPLD2","PTGDS","CD93","A2M","DDX21","CCL3L1","ITM2A","COL4A1","CLU","COL1A1","APOD","COL4A1","IFITM2","C5AR1","GPNMB","S100A10","C3AR1","DHRS9","APOC2","BIRC3","LYZ","AGBL4","CHRM3","CTSW","AIF1","OPALIN","HHIP","DHCR24","GSN","DSCAM","ATP1A2","HBB","MYH11","CORO1A","ALDOC","PLOD2","CHI3L1","ALDOA","CD24","DLL1","BCAN","CENPF","CTLA4","ANO2","ATP10A"
"ID2","MCTP1","LTBP4","TNC","HPSE2","DPP10","CD79A","JCHAIN","IFI27","CD69","CD8B","GZMK","CD74","MFAP4","BICC1","HSPG2","SEMA3G","ARHGAP11A","CCL4L2","SPARCL1","F2R","KCNMA1","COL1A2","C1S","THY1","S100A8","CD163","HK2","TGFBI","SIGLEC8","C3","C1QB","GPX4","S100A12","CSMD2","CNTNAP2","FGFBP2","CTSS","KIF19","CREB5","ENPP2","KLK6","GRID2","DLC1","HBA1","PDE3A","CRIP1","ATP1B2","NRN1","METTL7B","EEF1A2","NSG2","DLL3","GPR17","CENPV","FOXP3","TSHZ2","DOCK9"
"IER3","MECOM","MGP","ADAMTSL3","RORA","TNIK","MS4A1","XBP1","ABCG2","CD3E","XCL1","LIME1","FCER1A","OOEP","IGF2","KDR","SYNPO","IFRD2","CXCL8","CAVIN2","CA2","LEPR","COL3A1","CYP1B1","CCDC102B","G0S2","CD68","PLIN2","CAPG","EGR2","P2RY12","C3","GSTP1","S100A9","GABRA4","GRIP1","KLRD1","FCGR3A","RNASE1","CDH19","HAPLN2","CNDP1","KCNIP4","INPP4B","HBA2","PLN","RAC2","C1orf61","VEGFA","MT-ND4L","BNIP3","SCG3","OLIG2","SMOC1","CTXN1","IL32","CADPS2","FLT1"
"LRRC23","PLCB4","RAMP2","AQP1","SLC1A2","PPP2R2B","RPL18A","DERL3","VWF","CXCR4","PTGER2","DUSP2","FCGR2B","APOO","AKAP12","PLVAP","GJA5","ABCE1","IL1B","SEC62","THY1","SFRP2","COL6A2","DCN","COL4A2","FCGR3B","FCGRT","SLC11A1","F13A1","OLR1","CX3CR1","SLC2A5","HLA-DPB1","CSTA","KHDRBS2","KAZN","NKG7","LST1","BIN1","TCP11L2","TMEM144","CD9","LHFPL3","MUSTN1","SLC25A37","SOD3","HMGB1","ID4","IRS2","MT-ATP8","MRPS24","TUBB3","PRAME","NEU4","NMU","CD27","IL1R1","ABCB1"
"TM4SF1","VEGFC","ELN","DST","ARHGAP24","WDR49","RPS5","HERPUD1","","IL7R","ZNF683","CRTAM","GRASP","CCL2","GNAL","ESM1","CD59","ATAD3A","CCL4","GGT5","APLN","SLC26A2","POSTN","ISLR","FAT1","CMTM2","IFI30","TREM1","TOMM6","","GPR34","LILRB4","LAMP3","RETN","RBFOX1","NRXN3","PRF1","S100A11","AZGP1","TMPRSS5","FEZ1","LARP6","LRP1B","RGS5","","TAGLN","TUBA4A","ITGB8","NOL3","SPOCD1","","FXYD6","DSEL","C1QL1","MESP1","CD3D","IL6ST","ESYT2"
"C6orf62","ROR1","ABI3BP","TTN","CACNB2","ZNRF3","FCMR","FCRL5",,"IL32","KLRC4","KLRG1","HLA-DRB5","ECRG4","SFRP4","RASGRP3","JAG2","NUDT15","CCL20","MFSD2A","PXDN","SLC47A1","RPL27A","F3","C11orf96","S100P","MS4A6A","ZNF385A","SLC16A3",,"TMEM119","FCGR1A","LSP1","NLRP3","SV2B","SRRM4","CD247","SERPINA1","TTLL7","LAMP2","GPIHBP1","KCNMB4","LRRC4C","SLC6A1",,"TPM2","PLP2","SOX9","HILPDA","SPRY2",,"INSM1","","COL9A2","ZNF66","CD2","ACKR1","NPIPB3"
"SLC10A1","TMTC1","LTC4S","DAAM2","TPD52L1","CFAP47","BANK1","FKBP11",,"CD52","","","RNASE6","FHL1","GFPT2","RFLNB","S1PR1","TIPIN","","SLC38A5","SPRY1","IGFBP5","RPL37A","FBLN2","PTGIR","PROK2","TNFSF13","C15orf48","PTGES3",,"APOC2","RNASE2","TMSB10","PLBD1","SYNDIG1","ZNF536","CD7","FCER1G","MAL","CERCAM","GPR37","HCN2","LUZP2","ARHGAP10",,"ACTA2","CNN2","ENHO","AK4","",,"SHD",,"SNX22","ZNF738","TIGIT","SOD2","SLCO1A2"
"TNFRSF10D","ELMO1","GCHFR","FAM189A2","RYR3","SERPINI2","NOP53","ISG20",,"",,,"HCLS1","EGLN3","CCDC200","ROBO4","HEY1","EXOSC2",,"CD320","COL4A2","OGN","COL5A1","C7","FBLIM1","","GRN","HMOX1","HNMT",,"CSF1R","WAS","HINT1","MCEMP1","SYT1","GAD1","GNLY","MS4A7","CNP","","MOBP","UCHL1","PCDH15","EBF1",,"ADIRF","RAD21","ALDH1L1","SPNS2",,,"DPYSL3",,"GPR37L1","","TNFAIP3","ADGRG6","THSD4"
"KCNJ2","THSD7A","IGFBP3","KCNN3","WIF1","ADCY2","RPS8","SEC11C",,,,,"IGFLR1","FSIP1","ALDH1A2","PLXNA2","MALL","DSCC1",,"EDN3","C11orf96","SCARA5","COL6A1","MMP2","CALD1",,"SDS","MMP19","MARCO",,"SELPLG","APBB1IP","HLA-DQA1","LTB4R","MLIP","GRIK2","IFITM1","S100A4","",,"CARNS1","LGALS3BP","PTPRZ1","EPS8",,"CNN1","PPP1CA","LIX1","",,,"MLLT11",,"ASIC1",,"BATF","RAMP3","BBS9"
"NFE2L3","CFH","C1QTNF5","BAIAP3","SLC1A3","TAB2","BLK","SSR4",,,,,"GPR183","ANGPT1","ARIH1","VWA1","SULT1B1","CENPQ",,"KTN1","MCAM","EFEMP1","COL6A3","NR2F1","COL18A1",,"ACP5","ERO1A","METTL26",,"LPAR5","FCGBP","IL7R","","NEGR1","IGF1","GZMB","PTPRC",,,"FA2H","PRDX1","TNR","SLC6A13",,"MYL9","PTPRCAP","COL28A1",,,,"CDR1",,"MTSS2",,"IL2RA","LRRC1","COBLL1"
