gene,Control_rep1,Control_rep2,Control_rep3,siH3F3B_rep1,siH3F3B_rep2,siH3F3B_rep3,siZMYND8_rep1,siZMYND8_rep2,siZMYND8_rep3
ENSG00000223972.5,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,19,20,29,20,35,26,33,23,14
ENSG00000278267.1,1,0,1,0,1,0,1,0,2
ENSG00000243485.5,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,0,0,0,0,1
ENSG00000239945.1,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,20,20,14,18,19,19,27,22,13
ENSG00000269981.1,12,13,13,17,18,15,22,35,27
ENSG00000239906.1,0,2,1,0,0,2,0,2,0
ENSG00000241860.6,8,4,2,9,5,9,10,9,10
ENSG00000222623.1,0,0,0,0,0,0,0,3,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0,0,0,0
ENSG00000279457.4,23,17,32,16,32,30,41,24,26
ENSG00000273874.1,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,6,7,4,4,5,7,11,7,4
ENSG00000236679.2,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,10,9,17,19,32,28,21,30,24
ENSG00000269732.1,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,2,0,0,0,1,1,2
ENSG00000230021.9,0,0,0,1,0,0,3,2,1
ENSG00000235146.2,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,2,1,4,3,3,1,1,1,1
ENSG00000225630.1,1252,1159,1424,1591,1814,1663,1913,1614,1656
ENSG00000237973.1,484,478,575,653,665,708,708,624,606
ENSG00000278791.1,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,3,1,8,7,12,14,2,2,13
ENSG00000240409.1,0,0,1,2,0,2,0,0,0
ENSG00000248527.1,2260,2315,2651,3035,3478,3398,3709,3045,3063
ENSG00000198744.5,274,304,353,410,459,502,419,399,385
ENSG00000268663.1,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0
ENSG00000228327.3,40,24,37,44,31,48,47,34,38
ENSG00000223181.1,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0
ENSG00000237491.8,8,5,8,18,8,24,21,22,18
ENSG00000285268.1,0,0,0,0,0,0,0,0,0
ENSG00000230092.7,2,6,3,1,12,8,10,9,2
ENSG00000177757.2,4,0,1,0,3,0,2,3,3
ENSG00000228794.8,229,244,313,256,378,367,381,323,368
ENSG00000225880.5,9,17,24,21,20,32,32,21,24
ENSG00000230368.2,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,1,1,1,0,0,0,3,1
ENSG00000230699.2,1,3,3,2,2,5,3,4,0
ENSG00000241180.1,0,0,0,0,0,0,0,0,0
ENSG00000223764.2,20,23,29,19,25,17,58,25,28
ENSG00000187634.11,107,96,142,69,105,90,136,97,108
ENSG00000188976.10,3032,3163,4053,3502,4404,4150,4531,3836,3991
ENSG00000187961.13,275,239,327,361,404,404,482,411,404
ENSG00000187583.10,117,110,153,160,171,176,242,230,257
ENSG00000187642.9,0,0,3,0,0,1,1,1,4
ENSG00000272512.1,1,0,4,5,6,2,6,3,5
ENSG00000188290.10,92,88,133,107,127,126,189,162,147
ENSG00000187608.8,403,456,559,443,506,480,886,706,644
