"","chromosome_name","start_position","end_position","hgnc_symbol"
"1","1",33306766,33321098,"A3GALT2"
"2","1",12716110,12728760,"AADACL3"
"3","1",12644085,12667076,"AADACL4"
"4","2",69457997,69674349,"AAK1"
"5","1",93992834,94121148,"ABCA4"
"6","1",229516582,229558707,"ABCB10"
"7","1",94418389,94518666,"ABCD3"
"8","2",43812472,43838865,"ABCG5"
"9","2",43831942,43882988,"ABCG8"
"10","2",27123789,27130812,"ABHD1"
"11","1",179099330,179229684,"ABL2"
"12","1",75724431,75787575,"ACADM"
"13","1",1292390,1309609,"ACAP3"
"14","1",226144679,226186741,"ACBD3"
"15","1",180269653,180502954,"ACBD6"
"16","1",159203307,159206500,"ACKR1"
"17","1",54542257,54639192,"ACOT11"
"18","1",6264269,6393767,"ACOT7"
"19","2",264140,278283,"ACP1"
"20","1",147629652,147670524,"ACP6"
"21","1",229430365,229434104,"ACTA1"
"22","1",92229018,92229435,"ACTBP12"
"23","1",77773865,77774864,"ACTG1P21"
"24","1",202861754,202875241,"ACTG1P25"
"25","2",73892314,73919865,"ACTG2"
"26","1",17755333,17827063,"ACTL8"
"27","1",236664141,236764631,"ACTN2"
"28","2",97655939,97664044,"ACTR1B"
"29","2",65227788,65271253,"ACTR2"
"30","1",3021467,3022903,"ACTRT2"
"31","2",53970838,54305300,"ACYP2"
"32","1",155050566,155062775,"ADAM15"
"33","2",9488486,9556732,"ADAM17"
"34","1",119893533,119896515,"ADAM30"
"35","1",161184302,161199054,"ADAMTS4"
"36","1",150549369,150560937,"ADAMTSL4"
"37","1",154581695,154628013,"ADAR"
"38","1",167809386,167914215,"ADCY10"
"39","2",24819169,24920237,"ADCY3"
"40","2",70607618,70768225,"ADD2"
"41","1",31727117,31764893,"ADGRB2"
"42","2",26308173,26346817,"ADGRF3"
"43","1",81306147,81993932,"ADGRL2"
"44","1",78889764,79282124,"ADGRL4"
"45","1",79521080,79522203,"ADH5P2"
"46","1",240170155,240171291,"ADH5P3"
"47","CHR_HSCHR2_1_CTG1",3498728,3502360,"ADI1"
"48","2",3497366,3519531,"ADI1"
"49","1",202940826,202958572,"ADIPOR1"
"50","1",203090654,203167405,"ADORA1"
"51","1",111499429,111503633,"ADORA3"
"52","1",36088892,36093932,"ADPRS"
"53","2",96112876,96116571,"ADRA2B"
"54","1",244408494,244451909,"ADSS2"
"55","2",64524299,64593005,"AFTPH"
"56","1",48532854,50023954,"AGBL4"
"57","2",27042364,27070622,"AGBL5"
"58","1",99850361,99924023,"AGL"
"59","1",15571699,15585051,"AGMAT"
"60","1",35869808,35930532,"AGO1"
"61","1",35930718,36072500,"AGO3"
"62","1",35808016,35857890,"AGO4"
"63","1",1020120,1056118,"AGRN"
"64","1",230690776,230745576,"AGT"
"65","1",11736084,11754802,"AGTRAP"
"66","1",246839098,246931948,"AHCTF1"
"67","1",109984765,110023742,"AHCYL1"
"68","1",27534035,27604431,"AHDC1"
"69","2",61177418,61191203,"AHSA2P"
"70","1",222668013,222713210,"AIDA"
"71","1",159061599,159187843,"AIM2"
"72","1",4654609,4792534,"AJAP1"
"73","1",33007986,33080996,"AK2"
"74","1",65147549,65232145,"AK4"
"75","1",77282019,77559966,"AK5"
"76","1",38991276,39006059,"AKIRIN1"
"77","1",108815898,108963484,"AKNAD1"
"78","1",45550543,45570049,"AKR1A1"
"79","1",224574434,224575389,"AKR1B1P1"
"80","1",19303965,19312144,"AKR7A2"
"81","1",19282573,19288770,"AKR7A3"
"82","1",19265982,19274194,"AKR7L"
"83","CHR_HSCHR1_3_CTG32_1",243488233,243855434,"AKT3"
"84","1",243488233,243851079,"AKT3"
"85","1",18871430,18902724,"ALDH4A1"
"86","1",165662216,165698562,"ALDH9A1"
"87","1",94974405,95072951,"ALG14"
"88","1",63367575,63438553,"ALG6"
"89","2",29192774,29921586,"ALK"
"90","2",279558,288851,"ALKAL2"
"91","2",3658200,3702671,"ALLC"
"92","2",73385758,73625166,"ALMS1"
"93","2",73671030,73685085,"ALMS1P1"
"94","2",73641083,73697509,"ALMS1P1"
"95","1",21509397,21578410,"ALPL"
"96","1",110059870,110070672,"ALX3"
"97","1",109504178,109509738,"AMIGO1"
"98","1",114673090,114695618,"AMPD1"
"99","1",109616104,109632051,"AMPD2"
"100","1",103655760,103664554,"AMY1A"
"101","1",103687415,103696454,"AMY1B"
"102","1",103745323,103758726,"AMY1C"
"103","1",103617427,103625780,"AMY2A"
"104","1",103553815,103579534,"AMY2B"
"105","1",103713723,103719871,"AMYP1"
"106","2",86871301,86912978,"ANAPC1P1"
"107","2",87118534,87120980,"ANAPC1P3"
